,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
285,RT @Will_Bunch: 29. ...the U.S. government under Donald Trump has done absolutely NOTHING to investigate the truth on arguably the most sig…,🌊𝓑𝓻𝓲𝓽𝓹🎯𝓹𝓽𝓪𝓻𝓽𝓼🌊,760256,7045,House of Eclecstacy!,False,0,202,2020-01-23 00:02:45
286,RT @elizlipp: How did a do nothing Senator from Vermont get you all to believe he’s our only hope in beating Donald Trump?,Ebony,29465,475,Northern Virginia,False,0,419,2020-01-23 00:02:45
287,RT @realTuckFrumper: Donald Trump Did a Zillion Tweets Today and Each One Is Terrible https://t.co/wMJ4Qlu11Z,Dawn M. Mirabelli 🌊,2706,197,"New Jersey, USA",False,0,6,2020-01-23 00:02:45
288,RT @BillOReilly: The media has demonized Donald Trump to such an extent that reasoned discussion about him has vanished.  The press signal…,Brian K Harris,14467,170,,False,0,629,2020-01-23 00:02:44
289,"RT @AGAlanWilson: Today, I led a coalition of 21 state Attorneys General rebuking the dangerous partisan impeachment of President Donald Tr…",Stephanie Rawlinson,4149,1262,"Florence, SC",False,0,13,2020-01-23 00:02:44
290,"RT @gregolear: ""My name is Donald John Trump. My hobbies include sexual assault, reality TV, and wanton obstruction of justice.""",Joshua,20169,59,,False,0,492,2020-01-23 00:02:44
291,"RT @BernieSanders: Over and over, Donald Trump promised Americans that he would not cut Social Security and Medicare.

He lied.

When we wi…",Jorge Iniestra,3026,71,,False,0,1345,2020-01-23 00:02:43
292,"RT @GregRubini: today, exactly 3 years ago, on January 20, 2017,
there was the Inauguration of Donald Trump as President of the USA.

do yo…",Krystal Arrow #PPC #DrainTheSwamp,51319,5259,Canada,False,0,7198,2020-01-23 00:02:43
293,"RT @PeteButtigieg: Donald Trump faked a medical condition to avoid serving. He’s never had to sacrifice a day in his life.

He will never u…",Victoria Holt,6405,148,"Rock Hill, SC",False,0,2575,2020-01-23 00:02:43
294,"""I am the Chosen one"" 
- Donald Trump",Styrex,546,3,,False,0,0,2020-01-23 00:02:43
295,"RT @TomSteyer: Reminder: Donald Trump is still an unindicted co-conspirator.
https://t.co/dEcTGOomRB",Janice,482,12,,False,0,109,2020-01-23 00:02:42
296,RT @Thomas1774Paine: ‘Donald Trump’s Worst Nightmare’ Imprisoned in El Chapo’s Former Cell in Manhattan https://t.co/UKF3HrgECy,@JOYH1920,15390,155,,False,0,10,2020-01-23 00:02:42
